"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",338
"Votos a candidaturas 2007","PP 2007",231
"Votos a candidaturas 2007","PAR 2007",111
"Votos a candidaturas 2007","CHA 2007",26
"PSOE 2007","Votos a candidaturas 2011",338
"PP 2007","Votos a candidaturas 2011",231
"PAR 2007","Votos a candidaturas 2011",111
"CHA 2007","Votos a candidaturas 2011",26
"Votos a candidaturas 2011","PSOE 2011",306
"Votos a candidaturas 2011","PP 2011",237
"Votos a candidaturas 2011","PAR 2011",64
"Votos a candidaturas 2011","IU 2011",69
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",12
