"actividad","act_descripcion","value","cod","mun"
"A","Agricultura, ganadería, silvicultura y pesca",44,44013,"Alcañiz"
"B","Industrias extractivas",1,44013,"Alcañiz"
"C","Industria manufacturera",60,44013,"Alcañiz"
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",5,44013,"Alcañiz"
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",4,44013,"Alcañiz"
"F","Construcción",298,44013,"Alcañiz"
"G","Comercio al por mayor y al por menor",690,44013,"Alcañiz"
"H","Transporte y almacenamiento",72,44013,"Alcañiz"
"I","Hostelería",279,44013,"Alcañiz"
"J","Información y comunicaciones",14,44013,"Alcañiz"
"K","Actividades financieras y de seguros",58,44013,"Alcañiz"
"L","Actividades inmobiliarias",203,44013,"Alcañiz"
"M","Actividades profesionales, científicas y técnicas",143,44013,"Alcañiz"
"N","Actividades administrativas y servicios auxliares",101,44013,"Alcañiz"
"P","Educación",58,44013,"Alcañiz"
"Q","Actividades sanitarias y de servicios sociales",49,44013,"Alcañiz"
"R","Actividades artísticas, recreativas y de entretenimiento",64,44013,"Alcañiz"
"S","Otros servicios",96,44013,"Alcañiz"
