"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",349
"Votos a candidaturas 2007","PP 2007",686
"Votos a candidaturas 2007","PAR 2007",921
"Votos a candidaturas 2007","CHA 2007",357
"Votos a candidaturas 2007","IU 2007",6
"PSOE 2007","Votos a candidaturas 2011",349
"PP 2007","Votos a candidaturas 2011",686
"PAR 2007","Votos a candidaturas 2011",921
"CHA 2007","Votos a candidaturas 2011",357
"IU 2007","Votos a candidaturas 2011",6
"Votos a candidaturas 2011","PSOE 2011",320
"Votos a candidaturas 2011","PP 2011",752
"Votos a candidaturas 2011","PAR 2011",880
"Votos a candidaturas 2011","CHA 2011",239
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",189
