name,comarca,ine
Abiego,Somontano de Barbastro,22001
Abizanda,Sobrarbe,22002
Adahuesca,Somontano de Barbastro,22003
Agüero,Plana de Uesca,22004
Aísa,La Jacetania,22006
Albalate de Cinca,Cinca Medio,22007
Albalatillo,Los Monegros,22008
Albelda,La Llitera,22009
Albero Alto,Plana de Uesca,22011
Albero Bajo,Los Monegros,22012
Alberuela de Tubo,Los Monegros,22013
Alcalá de Gurrea,Plana de Uesca,22014
Alcalá del Obispo,Plana de Uesca,22015
Alcampell,La Llitera,22016
Alcolea de Cinca,Cinca Medio,22017
Alcubierre,Los Monegros,22018
Alerre,Plana de Uesca,22019
Alfántega,Cinca Medio,22020
Almudévar,Plana de Uesca,22021
Almunia de San Juan,Cinca Medio,22022
Almuniente,Los Monegros,22023
Alquézar,Somontano de Barbastro,22024
Altorricón,La Llitera,22025
Angüés,Plana de Uesca,22027
Ansó,La Jacetania,22028
Antillón,Plana de Uesca,22029
Aragüés del Puerto,La Jacetania,22032
Arén,La Ribagorza,22035
Argavieso,Plana de Uesca,22036
Arguis,Plana de Uesca,22037
Ayerbe,Plana de Uesca,22039
Azanuy-Alins,La Llitera,22040
Azara,Somontano de Barbastro,22041
Azlor,Somontano de Barbastro,22042
Baells,La Llitera,22043
Bailo,La Jacetania,22044
Baldellou,La Llitera,22045
Ballobar,Baix Cinca,22046
Banastás,Plana de Uesca,22047
Barbastro,Somontano de Barbastro,22048
Barbués,Los Monegros,22049
Barbuñales,Somontano de Barbastro,22050
Bárcabo,Sobrarbe,22051
Belver de Cinca,Baix Cinca,22052
Benabarre,La Ribagorza,22053
Benasque,La Ribagorza,22054
Berbegal,Somontano de Barbastro,22055
Bielsa,Sobrarbe,22057
Bierge,Somontano de Barbastro,22058
Biescas,Alto Gállego,22059
Binaced,Cinca Medio,22060
Binéfar,La Llitera,22061
Bisaurri,La Ribagorza,22062
Biscarrués,Plana de Uesca,22063
Blecua y Torres,Plana de Uesca,22064
Boltaña,Sobrarbe,22066
Bonansa,La Ribagorza,22067
Borau,La Jacetania,22068
Broto,Sobrarbe,22069
Caldearenas,Alto Gállego,22072
Campo,La Ribagorza,22074
Camporrells,La Llitera,22075
Canal de Berdún,La Jacetania,22076
Candasnos,Baix Cinca,22077
Canfranc,La Jacetania,22078
Capdesaso,Los Monegros,22079
Capella,La Ribagorza,22080
Casbas de Huesca,Plana de Uesca,22081
Castejón del Puente,Somontano de Barbastro,22082
Castejón de Monegros,Los Monegros,22083
Castejón de Sos,La Ribagorza,22084
Castelflorite,Los Monegros,22085
Castiello de Jaca,La Jacetania,22086
Castigaleu,La Ribagorza,22087
Castillazuelo,Somontano de Barbastro,22088
Castillonroy,La Llitera,22089
Colungo,Somontano de Barbastro,22090
Chalamera,Baix Cinca,22094
Chía,La Ribagorza,22095
Chimillas,Plana de Uesca,22096
Esplús,La Llitera,22099
Estada,Somontano de Barbastro,22102
Estadilla,Somontano de Barbastro,22103
Estopiñán del Castillo,La Ribagorza,22105
Fago,La Jacetania,22106
Fanlo,Sobrarbe,22107
Fiscal,Sobrarbe,22109
Fonz,Cinca Medio,22110
Foradada del Toscar,La Ribagorza,22111
Fraga,Baix Cinca,22112
Fueva (La),Sobrarbe,22113
Gistaín,Sobrarbe,22114
Grado (El),Somontano de Barbastro,22115
Grañén,Los Monegros,22116
Graus,La Ribagorza,22117
Gurrea de Gállego,Plana de Uesca,22119
Hoz de Jaca,Alto Gállego,22122
Huerto,Los Monegros,22124
Huesca,Plana de Uesca,22125
Ibieca,Plana de Uesca,22126
Igriés,Plana de Uesca,22127
Ilche,Somontano de Barbastro,22128
Isábena,La Ribagorza,22129
Jaca,La Jacetania,22130
Jasa,La Jacetania,22131
Labuerda,Sobrarbe,22133
Laluenga,Somontano de Barbastro,22135
Lalueza,Los Monegros,22136
Lanaja,Los Monegros,22137
Laperdiguera,Somontano de Barbastro,22139
Lascellas-Ponzano,Somontano de Barbastro,22141
Lascuarre,La Ribagorza,22142
Laspaúles,La Ribagorza,22143
Laspuña,Sobrarbe,22144
Loarre,Plana de Uesca,22149
Loporzano,Plana de Uesca,22150
Loscorrales,Plana de Uesca,22151
Monesma y Cajigar,La Ribagorza,22155
Monflorite-Lascasas,Plana de Uesca,22156
Montanuy,La Ribagorza,22157
Monzón,Cinca Medio,22158
Naval,Somontano de Barbastro,22160
Novales,Plana de Uesca,22162
Nueno,Plana de Uesca,22163
Olvena,Somontano de Barbastro,22164
Ontiñena,Baix Cinca,22165
Osso de Cinca,Baix Cinca,22167
Palo,Sobrarbe,22168
Panticosa,Alto Gállego,22170
Peñalba,Los Monegros,22172
Peñas de Riglos (Las),Plana de Uesca,22173
Peralta de Alcofea,Somontano de Barbastro,22174
Peralta de Calasanz,La Llitera,22175
Peraltilla,Somontano de Barbastro,22176
Perarrúa,La Ribagorza,22177
Pertusa,Plana de Uesca,22178
Piracés,Plana de Uesca,22181
Plan,Sobrarbe,22182
Poleñino,Los Monegros,22184
Pozán de Vero,Somontano de Barbastro,22186
Puebla de Castro (La),La Ribagorza,22187
Puente de Montañana,La Ribagorza,22188
Puértolas,Sobrarbe,22189
Pueyo de Araguás (El),Sobrarbe,22190
Pueyo de Santa Cruz,Cinca Medio,22193
Quicena,Plana de Uesca,22195
Robres,Los Monegros,22197
Sabiñánigo,Alto Gállego,22199
Sahún,La Ribagorza,22200
Salas Altas,Somontano de Barbastro,22201
Salas Bajas,Somontano de Barbastro,22202
Salillas,Plana de Uesca,22203
Sallent de Gállego,Alto Gállego,22204
San Esteban de Litera,La Llitera,22205
Sangarrén,Los Monegros,22206
San Juan de Plan,Sobrarbe,22207
Santa Cilia,La Jacetania,22208
Santa Cruz de la Serós,La Jacetania,22209
Santaliestra y San Quílez,La Ribagorza,22212
Sariñena,Los Monegros,22213
Secastilla,La Ribagorza,22214
Seira,La Ribagorza,22215
Sena,Los Monegros,22217
Senés de Alcubierre,Los Monegros,22218
Sesa,Plana de Uesca,22220
Sesué,La Ribagorza,22221
Siétamo,Plana de Uesca,22222
Sopeira,La Ribagorza,22223
Tamarite de Litera,La Llitera,22225
Tardienta,Los Monegros,22226
Tella-Sin,Sobrarbe,22227
Tierz,Plana de Uesca,22228
Tolva,La Ribagorza,22229
Torla,Sobrarbe,22230
Torralba de Aragón,Los Monegros,22232
Torre la Ribera,La Ribagorza,22233
Torrente de Cinca,Baix Cinca,22234
Torres de Alcanadre,Somontano de Barbastro,22235
