"name","comarca","ine","lon","lat","cp"
"Ababuj","Comunidad de Teruel","44001","-0.8082747","40.5489944","44155"
"Abanto","Comunidad de Calatayud","50001","-1.6982436","41.1374118","50375"
"Abejuela","Gúdar-Javalambre","44002","-0.8934389","39.9100741","44422"
"Abiego","Somontano de Barbastro","22001","-0.0702971","42.1211164","22143"
"Abizanda","Sobrarbe","22002","0.1973616","42.2427015","22392"
"Acered","Campo de Daroca","50002","-1.6038527","41.1711374","50347"
"Adahuesca","Somontano de Barbastro","22003","-0.0084522","42.1464637","22147"
"Aguarón","Campo de Cariñena","50004","-1.2704491","41.3384607","50408"
"Aguatón","Comunidad de Teruel","44003","-1.2355695","40.67187","44382"
"Aguaviva","Bajo Aragón","44004","-0.1975081","40.8233188","44566"
"Aguilar del Alfambra","Comunidad de Teruel","44005","-0.7954857","40.5906929","44156"
"Aguilón","Campo de Cariñena","50005","-1.0460453","41.2943156","50155"
"Agón","Campo de Borja","50003","-1.4537398","41.8564973",NA
"Agüero","Plana de Uesca","22004","-0.7942962","42.3548175","22808"
"Ainzón","Campo de Borja","50006","-1.5172315","41.814071","50570"
"Alacón","Andorra-Sierra de Arcos","44006","-0.6974719","41.0234359","44549"
"Aladrén","Campo de Cariñena","50007","-1.1559962","41.2496592","50481"
"Alagón","Ribera Alta del Ebro","50008","-1.1173154","41.7689166","50630"
"Alarba","Comunidad de Calatayud","50009","-1.6135555","41.2049317","50345"
"Alba","Comunidad de Teruel","44007","-1.3457193","40.6179896","44395"
"Albalate de Cinca","Cinca Medio","22007","0.1477435","41.7225971","22534"
"Albalate del Arzobispo","Bajo Martín","44008","-0.5127877","41.1201244","44540"
"Albalatillo","Los Monegros","22008","-0.1515468","41.7365952","22220"
"Albarracín","Sierra de Albarracín","44009","-1.443876","40.4075581","44126"
"Albelda","La Llitera","22009","0.4605568","41.8650547","22558"
"Albentosa","Gúdar-Javalambre","44010","-0.7705142","40.1023933","44477"
"Alberite de San Juan","Campo de Borja","50010","-1.4706617","41.8202655","50529"
"Albero Alto","Plana de Uesca","22011","-0.3377768","42.0510886","22112"
"Albero Bajo","Los Monegros","22012","-0.3801324","42.0237287","22255"
"Alberuela de Tubo","Los Monegros","22013","-0.2147943","41.9079723","22212"
"Albeta","Campo de Borja","50011","-1.500896","41.8273296","50549"
"Alborge","Ribera Baja del Ebro","50012","-0.3565959","41.3348679","50781"
"Alcaine","Cuencas Mineras","44011","-0.7048888","40.9530708","44792"
"Alcalá de Ebro","Ribera Alta del Ebro","50013","-1.1942501","41.8144636","50691"
"Alcalá de Gurrea","Plana de Uesca","22014","-0.6847179","42.0671777","22282"
"Alcalá de Moncayo","Tarazona y el Moncayo","50014","-1.6961168","41.7861005","50591"
"Alcalá de la Selva","Gúdar-Javalambre","44012","-0.7197269","40.3720048","44432"
"Alcalá del Obispo","Plana de Uesca","22015","-0.2910624","42.0768843","22135"
"Alcampell","La Llitera","22016","0.433141","41.9058078","22560"
"Alcañiz","Bajo Aragón","44013","-0.1335373","41.0510353","44600"
"Alcolea de Cinca","Cinca Medio","22017","0.1149925","41.7213895","22410"
