"cod","mun","total","hombres","mujeres","date"
22006,"Aisa",363,199,164,1998
22006,"Aisa",369,201,168,1999
22006,"Aisa",383,206,177,2000
22006,"Aisa",403,223,180,2001
22006,"Aisa",409,227,182,2002
22006,"Aisa",411,227,184,2003
22006,"Aisa",415,232,183,2004
22006,"Aisa",411,231,180,2005
22006,"Aísa",415,233,182,2006
22006,"Aisa",408,225,183,2007
22006,"Aisa",402,228,174,2008
22006,"Aisa",394,220,174,2009
22006,"Aisa",362,206,156,2010
22006,"Aisa",379,210,169,2011
22006,"Aisa",367,200,167,2012
22006,"Aisa",364,201,163,2013
